ID_CLIENT	GENDER	MARITAL_STATUS	QTY_PETS	DISTRICT
162	F	Married	3	Brooklyn
164	F	Single	4	Manhattan
165	F	Single	2	Manhattan
168	F	Married	4	Staten Island
169	F	Married	1	Bronx
170	F	Single	1	Brooklyn
175	F	Single	1	Queens
177	F	Married	1	Bronx
178	F	Single	1	Bronx
179	F	Single	1	Brooklyn
180	F	Single	4	Bronx
181	F	Single	1	Manhattan
182	F	Married	1	Bronx
187	F	Single	1	Bronx
188	F	Married	4	Bronx
190	F	Married	1	Bronx
191	F	Single	4	Bronx
192	F	Married	4	Manhattan
193	F	Single	1	Brooklyn
194	F	Single	1	Brooklyn
195	F	Single	4	Brooklyn
197	F	Married	1	Manhattan
198	F	Married	1	Manhattan
208	F	Married	2	Bronx
210	F	Married	1	Brooklyn
211	F	Married	3	Brooklyn
213	F	Single	3	Bronx
216	F	Single	2	Bronx
218	F	Single	2	Brooklyn
221	F	Married	2	Bronx
224	F	Married	3	Queens
225	F	Single	5	Manhattan
226	F	Single	2	Manhattan
227	F	Single	3	Bronx
228	F	Married	3	Manhattan
229	F	Married	1	Bronx
235	F	Married	2	Manhattan
238	F	Married	1	Manhattan
240	F	Married	2	Bronx
242	F	Single	1	Queens
243	F	Single	1	Brooklyn
244	F	Married	3	Brooklyn
248	F	Single	1	Brooklyn
250	F	Single	1	Manhattan
257	F	Married	3	Manhattan
260	F	Married	5	Manhattan
262	F	Single	4	Brooklyn
264	F	Single	1	Staten Island
265	F	Single	4	Manhattan
268	F	Married	1	Brooklyn
271	F	Single	2	Brooklyn
272	F	Single	1	Manhattan
273	F	Single	1	Brooklyn
274	F	Single	4	Bronx
275	F	Married	2	Brooklyn
280	F	Single	1	Bronx
281	F	Single	1	Brooklyn
282	F	Single	3	Manhattan
283	F	Single	3	Staten Island
286	F	Single	1	Queens
287	F	Married	1	Brooklyn
291	F	Single	1	Brooklyn
294	F	Single	1	Manhattan
296	F	Married	5	Brooklyn
297	F	Married	5	Brooklyn
298	F	Married	2	Brooklyn
299	F	Married	1	Brooklyn
301	F	Married	5	Manhattan
303	F	Married	1	Staten Island
304	F	Married	1	Bronx
305	F	Single	4	Brooklyn
309	F	Single	1	Queens
310	F	Single	1	Brooklyn
312	F	Married	3	Bronx
317	F	Married	1	Bronx
319	F	Married	1	Bronx
321	F	Single	2	Brooklyn
322	F	Single	1	Manhattan
323	F	Married	4	Manhattan
328	F	Single	3	Manhattan
329	F	Single	2	Bronx
330	F	Single	1	Brooklyn
335	F	Single	5	Bronx
336	F	Married	3	Brooklyn
337	F	Married	1	Queens
338	F	Married	3	Staten Island
339	F	Single	2	Brooklyn
340	F	Married	2	Queens
341	F	Married	1	Bronx
344	F	Single	1	Brooklyn
345	F	Married	2	Brooklyn
346	F	Married	1	Bronx
347	F	Single	4	Staten Island
349	F	Single	1	Staten Island
352	F	Married	1	Manhattan
354	F	Married	2	Queens
355	F	Single	1	Manhattan
360	F	Married	4	Manhattan
361	F	Single	1	Manhattan
363	F	Married	4	Bronx
364	F	Married	4	Bronx
365	F	Single	2	Staten Island
366	F	Single	2	Manhattan
369	F	Married	1	Bronx
370	F	Married	2	Bronx
372	F	Married	1	Staten Island
373	F	Single	2	Bronx
376	F	Single	2	Manhattan
378	F	Single	1	Manhattan
381	F	Married	4	Bronx
382	F	Married	4	Brooklyn
389	F	Married	1	Brooklyn
391	F	Single	4	Brooklyn
392	F	Married	1	Bronx
394	F	Single	2	Staten Island
395	F	Married	4	Manhattan
397	F	Married	2	Brooklyn
398	F	Single	1	Bronx
399	F	Married	3	Brooklyn
400	F	Married	1	Queens
402	F	Single	1	Staten Island
405	F	Single	3	Bronx
406	F	Single	1	Bronx
409	F	Married	1	Manhattan
411	F	Married	1	Bronx
414	F	Married	3	Brooklyn
415	F	Single	4	Brooklyn
417	F	Single	1	Bronx
422	F	Married	2	Bronx
423	F	Single	5	Brooklyn
426	F	Married	4	Bronx
430	F	Single	3	Manhattan
432	F	Married	4	Bronx
436	F	Married	1	Brooklyn
438	F	Married	2	Brooklyn
439	F	Married	3	Bronx
440	F	Married	5	Bronx
441	F	Married	5	Staten Island
443	F	Single	1	Staten Island
446	F	Single	2	Bronx
447	F	Single	1	Brooklyn
448	F	Married	1	Bronx
450	F	Single	3	Brooklyn
451	F	Married	1	Brooklyn
453	F	Married	3	Manhattan
454	F	Single	3	Bronx
457	F	Single	1	Brooklyn
462	F	Single	2	Queens
463	F	Single	3	Queens
464	F	Single	3	Bronx
465	F	Single	3	Bronx
466	F	Married	4	Brooklyn
467	F	Single	1	Bronx
468	F	Married	2	Staten Island
471	F	Single	3	Manhattan
472	F	Married	1	Bronx
473	F	Married	3	Manhattan
474	F	Married	1	Brooklyn
476	F	Single	1	Bronx
478	F	Married	5	Manhattan
480	F	Married	3	Queens
481	F	Married	2	Manhattan
482	F	Single	4	Manhattan
484	F	Married	3	Bronx
486	F	Married	2	Brooklyn
487	F	Single	4	Brooklyn
489	F	Married	2	Queens
491	F	Married	2	Queens
492	F	Married	1	Staten Island
493	F	Married	5	Bronx
494	F	Single	1	Brooklyn
497	F	Single	4	Queens
498	F	Single	1	Brooklyn
499	F	Single	1	Manhattan
502	F	Single	3	Bronx
504	F	Single	4	Bronx
506	F	Single	3	Brooklyn
510	F	Single	1	Queens
511	F	Married	4	Manhattan
518	F	Married	3	Brooklyn
521	F	Married	1	Manhattan
524	F	Single	2	Bronx
526	F	Married	2	Manhattan
529	F	Single	4	Manhattan
533	F	Married	1	Bronx
534	F	Married	3	Queens
537	F	Married	3	Queens
538	F	Single	5	Manhattan
540	F	Single	4	Brooklyn
541	F	Single	1	Manhattan
542	F	Married	3	Brooklyn
543	F	Married	3	Bronx
545	F	Single	3	Bronx
546	F	Single	3	Queens
547	F	Single	1	Manhattan
551	F	Single	2	Bronx
552	F	Single	4	Manhattan
553	F	Married	1	Brooklyn
554	F	Single	2	Queens
563	F	Single	4	Bronx
564	F	Married	3	Manhattan
565	F	Single	4	Bronx
566	F	Single	5	Staten Island
567	F	Single	1	Brooklyn
568	F	Single	1	Queens
569	F	Single	1	Queens
570	F	Single	1	Bronx
571	F	Single	1	Manhattan
572	F	Married	3	Staten Island
573	F	Single	2	Manhattan
574	F	Single	2	Manhattan
581	F	Single	1	Manhattan
587	F	Married	2	Bronx
588	F	Married	4	Queens
591	F	Single	3	Manhattan
593	F	Married	3	Bronx
594	F	Single	1	Bronx
595	F	Single	4	Manhattan
597	F	Single	4	Manhattan
598	F	Married	1	Brooklyn
601	F	Single	4	Brooklyn
602	F	Single	3	Bronx
603	F	Married	1	Manhattan
604	F	Single	2	Staten Island
606	F	Single	4	Brooklyn
612	F	Married	3	Staten Island
614	F	Married	2	Bronx
615	F	Married	4	Queens
617	F	Single	3	Bronx
618	F	Married	1	Manhattan
619	F	Married	2	Bronx
621	F	Married	2	Manhattan
622	F	Single	2	Queens
624	F	Single	3	Bronx
625	F	Single	1	Bronx
629	F	Married	4	Manhattan
630	F	Single	4	Manhattan
632	F	Married	2	Brooklyn
633	F	Married	2	Brooklyn
636	F	Single	1	Bronx
638	F	Married	3	Manhattan
639	F	Married	2	Bronx
644	F	Married	4	Bronx
645	F	Single	1	Manhattan
647	F	Married	5	Manhattan
649	F	Married	3	Queens
652	F	Single	3	Brooklyn
654	F	Married	3	Manhattan
655	F	Married	1	Queens
658	F	Single	3	Bronx
662	F	Married	3	Manhattan
663	F	Single	3	Manhattan
664	F	Single	2	Bronx
665	F	Single	4	Brooklyn
669	F	Single	2	Bronx
670	F	Single	4	Queens
673	F	Married	1	Manhattan
676	F	Single	5	Bronx
680	F	Married	3	Queens
681	F	Single	4	Manhattan
682	F	Single	2	Brooklyn
683	F	Married	1	Queens
689	F	Single	4	Manhattan
690	F	Single	5	Manhattan
697	F	Married	2	Bronx
698	F	Married	1	Bronx
704	F	Married	1	Queens
711	F	Married	2	Bronx
717	F	Single	4	Brooklyn
719	F	Married	1	Bronx
724	F	Single	2	Brooklyn
726	F	Single	4	Bronx
727	F	Married	3	Brooklyn
728	F	Married	5	Brooklyn
729	F	Single	3	Manhattan
731	F	Married	1	Queens
732	F	Single	5	Brooklyn
733	F	Single	1	Manhattan
734	F	Single	3	Brooklyn
736	F	Single	1	Staten Island
739	F	Married	4	Queens
740	F	Single	5	Manhattan
741	F	Married	2	Manhattan
742	F	Married	4	Bronx
745	F	Married	5	Bronx
746	F	Single	1	Bronx
747	F	Married	4	Manhattan
749	F	Single	2	Brooklyn
750	F	Single	3	Bronx
751	F	Single	3	Bronx
753	F	Single	1	Manhattan
754	F	Single	3	Manhattan
755	F	Single	3	Bronx
757	F	Single	4	Bronx
758	F	Single	4	Staten Island
759	F	Married	1	Brooklyn
760	F	Single	1	Manhattan
766	F	Married	4	Bronx
767	F	Single	2	Queens
769	F	Single	4	Manhattan
770	F	Single	3	Bronx
771	F	Single	3	Bronx
774	F	Married	1	Bronx
779	F	Married	2	Bronx
780	F	Single	5	Bronx
781	F	Married	2	Manhattan
782	F	Married	5	Bronx
783	F	Single	1	Manhattan
786	F	Single	1	Bronx
788	F	Married	5	Bronx
789	F	Married	4	Manhattan
790	F	Single	2	Bronx
792	F	Single	3	Bronx
796	F	Single	4	Manhattan
799	F	Married	2	Brooklyn
803	F	Single	2	Bronx
804	F	Married	2	Queens
806	F	Married	2	Bronx
808	F	Single	1	Bronx
810	F	Married	3	Brooklyn
815	F	Married	3	Queens
816	F	Married	4	Brooklyn
817	F	Single	2	Bronx
818	F	Married	2	Bronx
819	F	Single	2	Bronx
820	F	Single	5	Manhattan
822	F	Single	2	Brooklyn
823	F	Single	3	Manhattan
824	F	Single	3	Brooklyn
826	F	Married	3	Queens
827	F	Single	1	Manhattan
828	F	Married	1	Bronx
831	F	Married	2	Bronx
834	F	Single	2	Manhattan
837	F	Single	4	Manhattan
838	F	Single	4	Queens
839	F	Single	3	Bronx
841	F	Married	1	Staten Island
843	F	Single	1	Queens
847	F	Married	4	Bronx
850	F	Married	2	Manhattan
852	F	Single	2	Bronx
856	F	Married	5	Manhattan
857	F	Single	4	Bronx
863	F	Married	5	Bronx
864	F	Single	3	Manhattan
866	F	Married	4	Brooklyn
867	F	Single	1	Brooklyn
868	F	Single	5	Brooklyn
869	F	Single	2	Queens
870	F	Single	3	Manhattan
872	F	Married	3	Queens
873	F	Married	4	Manhattan
874	F	Married	1	Brooklyn
875	F	Single	4	Brooklyn
876	F	Married	5	Brooklyn
878	F	Single	1	Manhattan
879	F	Married	5	Bronx
880	M	Single	1	Manhattan
886	M	Married	4	Bronx
887	F	Single	5	Staten Island
893	F	Married	3	Bronx
895	F	Single	5	Brooklyn
896	F	Married	5	Brooklyn
897	M	Single	1	Brooklyn
898	F	Married	1	Brooklyn
900	F	Single	1	Manhattan
901	M	Single	2	Bronx
904	M	Married	4	Brooklyn
905	M	Single	4	Manhattan
906	M	Married	1	Manhattan
907	F	Married	3	Brooklyn
908	F	Single	4	Manhattan
909	F	Single	1	Bronx
910	M	Single	1	Bronx
911	M	Single	2	Brooklyn
913	M	Married	2	Queens
916	M	Single	3	Bronx
917	M	Married	2	Bronx
918	M	Married	1	Manhattan
919	M	Married	5	Queens
921	M	Single	5	Queens
922	M	Single	4	Brooklyn
924	M	Married	5	Manhattan
925	M	Single	1	Brooklyn
927	M	Married	3	Brooklyn
930	F	Married	2	Bronx
933	M	Single	2	Brooklyn
934	F	Single	1	Bronx
937	F	Married	4	Brooklyn
938	M	Married	4	Queens
941	M	Single	1	Bronx
943	F	Single	2	Brooklyn
944	F	Married	3	Bronx
948	M	Single	5	Queens
950	M	Single	4	Bronx
952	M	Married	2	Brooklyn
955	F	Married	3	Bronx
958	M	Married	4	Manhattan
959	M	Single	1	Brooklyn
962	M	Married	2	Bronx
965	F	Married	2	Queens
967	F	Single	1	Bronx
968	F	Married	1	Bronx
970	F	Single	1	Staten Island
971	F	Married	3	Queens
972	M	Single	4	Queens
974	F	Married	4	Brooklyn
975	F	Single	1	Brooklyn
976	F	Married	5	Manhattan
978	M	Married	3	Queens
979	F	Single	1	Bronx
981	M	Single	1	Manhattan
983	F	Single	2	Manhattan
985	F	Married	2	Manhattan
988	F	Married	2	Bronx
991	F	Married	1	Manhattan
992	F	Single	3	Bronx
993	M	Married	3	Bronx
994	M	Single	5	Bronx
995	M	Married	1	Bronx
996	M	Single	2	Bronx
997	F	Single	4	Manhattan
1002	F	Married	2	Queens
1003	M	Married	3	Bronx
1004	F	Married	3	Bronx
1005	M	Single	2	Manhattan
1013	F	Married	2	Queens
1014	F	Married	2	Queens
1015	M	Married	4	Bronx
1017	F	Married	4	Brooklyn
1022	M	Married	3	Brooklyn
1023	M	Married	1	Bronx
1024	F	Married	1	Bronx
1025	M	Married	2	Brooklyn
1026	M	Single	1	Queens
1031	F	Married	2	Brooklyn
1032	F	Married	2	Queens
1035	M	Married	1	Bronx
1036	F	Single	3	Bronx
1037	M	Single	5	Brooklyn
1038	F	Married	3	Queens
1041	M	Single	4	Manhattan
1042	F	Married	1	Manhattan
1044	F	Single	1	Manhattan
1048	M	Single	4	Bronx
1049	F	Married	4	Manhattan
1050	F	Single	1	Brooklyn
1051	F	Single	1	Brooklyn
1052	F	Married	1	Bronx
1053	F	Single	1	Bronx
1055	M	Married	1	Bronx
1056	F	Married	2	Queens
1057	F	Married	2	Staten Island
1058	F	Single	2	Bronx
1059	M	Single	4	Brooklyn
1062	F	Married	4	Queens
1066	M	Married	1	Staten Island
1067	M	Single	2	Brooklyn
1068	M	Married	1	Brooklyn
1070	F	Single	2	Manhattan
1071	M	Single	1	Bronx
1073	M	Single	5	Bronx
1074	M	Single	1	Bronx
1076	F	Married	4	Staten Island
1079	F	Married	2	Bronx
1082	F	Married	3	Bronx
1083	M	Married	5	Manhattan
1084	M	Married	2	Manhattan
1085	F	Single	4	Brooklyn
1089	M	Single	3	Bronx
1090	M	Single	1	Bronx
1091	F	Single	1	Bronx
1092	M	Married	3	Brooklyn
1093	F	Single	3	Bronx
1094	F	Married	3	Bronx
1097	M	Single	1	Queens
1101	M	Married	3	Brooklyn
1102	F	Married	2	Bronx
1103	F	Married	4	Manhattan
1107	M	Single	1	Staten Island
1109	F	Single	5	Brooklyn
1110	M	Married	2	Bronx
1111	M	Married	1	Staten Island
1112	M	Married	4	Manhattan
1113	M	Married	1	Queens
1114	M	Married	4	Manhattan
1115	F	Single	3	Staten Island
1116	M	Single	4	Brooklyn
1117	M	Single	5	Queens
1119	F	Married	2	Brooklyn
1124	M	Single	3	Manhattan
1125	F	Married	1	Queens
1127	M	Single	5	Brooklyn
1128	F	Single	1	Bronx
1130	M	Single	5	Bronx
1131	M	Single	1	Bronx
1132	F	Married	2	Manhattan
1133	F	Single	3	Bronx
1135	F	Married	2	Brooklyn
1138	M	Married	2	Brooklyn
1140	M	Married	1	Staten Island
1141	M	Single	3	Manhattan
1144	M	Married	1	Brooklyn
1145	F	Single	1	Bronx
1146	F	Married	5	Manhattan
1147	F	Single	3	Bronx
1152	M	Married	4	Bronx
1153	M	Single	1	Bronx
1154	F	Single	5	Bronx
1157	M	Married	1	Manhattan
1159	F	Single	2	Manhattan
1161	M	Single	5	Bronx
1162	M	Married	2	Brooklyn
1164	F	Single	1	Queens
1166	M	Single	1	Bronx
1167	M	Married	3	Brooklyn
1168	F	Married	1	Bronx
1169	M	Married	1	Brooklyn
1170	F	Single	5	Manhattan
1171	F	Single	2	Brooklyn
1172	M	Married	3	Bronx
1173	M	Single	2	Bronx
1174	M	Single	5	Queens
1175	F	Married	4	Bronx
1177	F	Single	1	Queens
1178	M	Single	4	Manhattan
1180	M	Married	5	Brooklyn
1183	M	Single	3	Queens
1184	M	Single	5	Staten Island
1185	M	Married	4	Bronx
1187	M	Single	2	Bronx
1189	M	Single	3	Bronx
1190	F	Single	5	Brooklyn
1191	M	Single	2	Manhattan
1192	M	Married	4	Bronx
1193	F	Single	1	Bronx
1194	F	Single	1	Manhattan
1195	F	Single	5	Manhattan
1196	M	Single	1	Bronx
1197	M	Single	1	Queens
1201	M	Married	1	Manhattan
1202	M	Married	1	Manhattan
1203	M	Married	2	Bronx
1204	F	Married	4	Manhattan
1205	F	Married	1	Bronx
1207	M	Single	2	Staten Island
1209	M	Married	3	Manhattan
1212	M	Married	3	Staten Island
1214	M	Married	3	Manhattan
1215	M	Single	1	Bronx
1216	M	Single	1	Bronx
1217	F	Single	3	Brooklyn
1221	F	Married	1	Bronx
1222	M	Married	3	Manhattan
1224	M	Married	3	Manhattan
1228	M	Single	3	Brooklyn
1232	M	Married	2	Queens
1234	F	Married	1	Brooklyn
1235	M	Single	2	Manhattan
1236	M	Single	3	Brooklyn
1237	M	Married	2	Bronx
1240	F	Married	2	Bronx
1241	M	Single	5	Manhattan
1244	F	Married	1	Manhattan
1245	F	Single	2	Bronx
1249	F	Single	2	Bronx
1253	M	Single	4	Bronx
1254	F	Married	1	Bronx
1256	M	Married	5	Brooklyn
1259	F	Married	1	Manhattan
1260	F	Married	4	Queens
1261	F	Single	3	Manhattan
1262	M	Single	5	Brooklyn
1265	F	Married	2	Queens
1266	F	Single	4	Bronx
1268	F	Single	2	Manhattan
1270	F	Married	1	Brooklyn
1271	M	Single	2	Bronx
1274	M	Single	2	Brooklyn
1275	M	Single	4	Manhattan
1277	F	Married	1	Queens
1279	F	Single	3	Manhattan
1281	F	Married	4	Manhattan
1282	F	Single	3	Manhattan
1284	F	Single	1	Manhattan
1285	M	Married	5	Bronx
1286	M	Married	4	Manhattan
1289	M	Married	4	Queens
1293	M	Married	3	Staten Island
1295	M	Married	3	Queens
1297	M	Single	4	Manhattan
1300	M	Married	1	Staten Island
1304	M	Single	3	Bronx
1306	M	Married	4	Bronx
1309	F	Married	1	Manhattan
1310	F	Married	4	Manhattan
1311	M	Married	4	Manhattan
1312	F	Single	2	Manhattan
1313	F	Married	1	Bronx
1316	M	Married	3	Bronx
1317	F	Single	2	Manhattan
1319	M	Married	1	Manhattan
1321	M	Married	3	Bronx
1322	M	Single	5	Bronx
1325	M	Single	4	Queens
1328	M	Single	5	Bronx
1329	F	Single	3	Bronx
1330	M	Single	4	Bronx
1331	F	Single	4	Bronx
1332	F	Married	3	Manhattan
1334	M	Married	3	Bronx
1337	M	Single	5	Bronx
1338	M	Single	5	Manhattan
1339	F	Single	2	Bronx
1341	M	Married	3	Manhattan
1343	M	Married	1	Queens
1344	M	Single	3	Brooklyn
1345	F	Married	5	Bronx
1346	F	Single	4	Bronx
1347	M	Married	2	Bronx
1350	M	Married	5	Brooklyn
1352	M	Single	4	Bronx
1357	F	Single	5	Manhattan
1360	M	Married	4	Bronx
1361	F	Single	1	Manhattan
1362	M	Single	4	Brooklyn
1366	F	Single	4	Bronx
1367	F	Single	3	Brooklyn
1368	F	Married	1	Brooklyn
1370	F	Married	2	Bronx
1371	M	Married	3	Queens
1374	M	Single	1	Brooklyn
1376	M	Married	5	Brooklyn
1377	M	Single	3	Brooklyn
1378	M	Single	1	Manhattan
1379	F	Married	2	Brooklyn
1380	F	Single	1	Manhattan
1386	F	Married	4	Manhattan
1387	F	Married	1	Manhattan
1388	M	Married	1	Bronx
1389	M	Married	1	Bronx
1390	F	Single	1	Queens
1391	M	Single	1	Brooklyn
1392	M	Married	2	Bronx
1393	M	Single	5	Queens
1394	M	Married	1	Brooklyn
1395	M	Single	1	Brooklyn
1396	F	Single	5	Queens
1397	M	Single	1	Manhattan
1402	F	Married	4	Queens
1406	F	Single	2	Queens
1408	F	Single	5	Brooklyn
1409	M	Married	1	Manhattan
1410	M	Single	1	Manhattan
1412	M	Married	2	Manhattan
1414	F	Single	1	Bronx
1415	M	Single	1	Manhattan
1417	F	Single	2	Staten Island
1418	F	Single	4	Staten Island
1419	M	Single	1	Brooklyn
1420	M	Single	2	Queens
1421	F	Single	4	Manhattan
1423	F	Single	1	Bronx
1424	M	Married	3	Brooklyn
1425	F	Married	3	Queens
1427	M	Single	4	Brooklyn
1428	F	Single	5	Manhattan
1429	F	Single	4	Bronx
1430	M	Single	2	Manhattan
1431	M	Single	1	Brooklyn
1432	M	Single	4	Manhattan
1434	M	Married	3	Manhattan
1437	F	Single	1	Brooklyn
1438	F	Single	3	Manhattan
1442	F	Married	3	Manhattan
1443	F	Married	4	Brooklyn
1444	F	Married	5	Manhattan
1446	F	Single	3	Manhattan
1447	M	Married	1	Queens
1448	F	Married	3	Brooklyn
1449	F	Single	4	Queens
1451	M	Married	3	Manhattan
1455	F	Single	2	Brooklyn
1457	F	Single	2	Manhattan
1460	M	Married	1	Manhattan
1466	M	Single	1	Bronx
1467	F	Single	3	Bronx
1468	M	Single	2	Bronx
1469	F	Married	5	Manhattan
1470	M	Married	4	Bronx
1473	M	Single	1	Bronx
1475	M	Married	3	Brooklyn
1478	M	Married	4	Queens
1480	M	Single	3	Brooklyn
1481	F	Single	2	Bronx
1484	F	Single	4	Brooklyn
1485	F	Married	1	Bronx
1487	F	Single	1	Brooklyn
1490	M	Married	4	Bronx
1491	F	Married	1	Manhattan
1494	F	Married	4	Staten Island
1495	F	Married	3	Manhattan
1497	F	Married	3	Bronx
1498	F	Single	1	Manhattan
1499	F	Single	1	Bronx
1501	F	Married	2	Brooklyn
1502	F	Single	5	Brooklyn
1503	F	Single	1	Staten Island
1504	F	Single	3	Manhattan
1507	M	Married	1	Bronx
1508	M	Single	1	Staten Island
1511	M	Married	3	Manhattan
1512	M	Single	5	Brooklyn
1519	M	Married	1	Brooklyn
1520	M	Married	2	Brooklyn
1523	M	Single	1	Queens
1524	F	Married	4	Bronx
1528	F	Married	4	Manhattan
1529	F	Married	4	Bronx
1531	F	Married	1	Bronx
1532	F	Married	4	Bronx
1533	M	Married	3	Manhattan
1537	F	Single	3	Bronx
1538	M	Single	2	Bronx
1539	M	Married	2	Brooklyn
1541	M	Married	4	Bronx
1542	F	Single	3	Queens
1545	M	Married	1	Bronx
1547	M	Single	5	Manhattan
1548	F	Single	2	Bronx
1549	M	Single	4	Bronx
1550	F	Single	2	Queens
1551	F	Married	4	Manhattan
1553	F	Married	1	Queens
1554	M	Married	3	Queens
1556	F	Married	3	Bronx
1559	F	Single	2	Brooklyn
1560	F	Single	1	Queens
1561	F	Married	4	Manhattan
1563	F	Married	4	Brooklyn
1564	M	Married	4	Manhattan
1565	M	Married	5	Manhattan
1567	M	Married	2	Manhattan
1568	M	Married	1	Brooklyn
1571	F	Single	1	Manhattan
1572	M	Married	4	Manhattan
1575	M	Married	2	Bronx
1576	F	Married	4	Bronx
1577	F	Single	4	Brooklyn
1578	F	Married	1	Brooklyn
1580	F	Single	4	Bronx
1582	M	Married	4	Manhattan
1583	F	Married	1	Bronx
1584	F	Married	3	Bronx
1586	F	Single	2	Staten Island
1587	M	Married	2	Manhattan
1588	M	Single	1	Queens
1589	M	Married	1	Bronx
1590	F	Married	1	Queens
1593	F	Single	2	Brooklyn
1594	M	Married	2	Manhattan
1596	M	Married	2	Manhattan
1598	M	Married	1	Manhattan
1599	F	Single	4	Bronx
1601	M	Single	1	Bronx
1602	F	Single	5	Bronx
1603	F	Married	3	Staten Island
1605	M	Single	1	Bronx
1606	M	Married	1	Manhattan
1607	F	Married	1	Bronx
1610	F	Single	1	Manhattan
1611	M	Single	1	Bronx
1612	M	Married	3	Manhattan
1614	F	Single	3	Queens
1615	F	Single	4	Bronx
1616	M	Single	3	Manhattan
1617	M	Married	4	Manhattan
1620	F	Married	1	Brooklyn
1622	M	Married	1	Manhattan
1624	M	Single	4	Manhattan
1625	M	Married	1	Brooklyn
1626	M	Married	1	Bronx
1628	M	Married	5	Bronx
1631	M	Married	3	Manhattan
1633	M	Single	4	Manhattan
1634	F	Married	1	Manhattan
1636	F	Single	2	Manhattan
1638	M	Single	1	Manhattan
1639	F	Married	4	Staten Island
1641	M	Married	2	Queens
1642	F	Married	4	Bronx
1643	F	Married	1	Manhattan
1646	M	Single	2	Bronx
1647	F	Married	1	Bronx
1648	F	Married	3	Manhattan
1650	M	Married	2	Brooklyn
1654	M	Single	1	Bronx
1655	M	Single	2	Bronx
1656	F	Single	4	Bronx
1658	F	Single	3	Bronx
1659	F	Married	1	Bronx
1660	F	Single	4	Bronx
1662	F	Single	1	Queens
1663	F	Married	2	Brooklyn
1665	F	Single	4	Bronx
1666	F	Single	3	Brooklyn
1669	F	Married	5	Manhattan
1674	M	Single	1	Brooklyn
1675	M	Single	2	Bronx
1676	M	Married	3	Manhattan
1681	F	Married	5	Bronx
1682	F	Single	1	Bronx
1683	M	Married	3	Brooklyn
1684	M	Married	3	Bronx
1686	M	Married	1	Bronx
1690	M	Married	2	Manhattan
1692	F	Married	3	Manhattan
1693	M	Married	3	Manhattan
1696	M	Single	3	Staten Island
1701	F	Single	1	Bronx
1702	M	Single	2	Brooklyn
1706	F	Single	3	Bronx
1718	M	Single	4	Bronx
1719	M	Married	3	Brooklyn
1720	F	Single	4	Manhattan
1721	M	Married	4	Bronx
1722	F	Single	3	Brooklyn
1726	F	Single	1	Queens
1728	F	Married	4	Staten Island
1729	M	Single	1	Manhattan
1730	F	Married	1	Manhattan
1731	F	Married	5	Bronx
1736	F	Single	1	Bronx
1737	M	Married	5	Manhattan
1738	M	Single	4	Brooklyn
1740	F	Married	1	Staten Island
1741	M	Married	4	Manhattan
1742	F	Married	2	Brooklyn
1743	M	Married	3	Bronx
1744	M	Married	3	Bronx
1745	M	Married	3	Queens
1747	F	Single	1	Manhattan
1748	F	Single	1	Bronx
1750	F	Single	3	Bronx
1753	F	Married	3	Brooklyn
1754	F	Single	5	Manhattan
1755	F	Married	1	Manhattan
1758	F	Single	4	Manhattan
